id,address,city,state,zip,country,lat,lon,type
300852,78 Broad St/Us Rt 5 & 91,Lyndonville,VT,5851,US,44.526683,-72.000644,Dunkin Donuts
300856,1106 State St,Lemont,IL,60439,US,41.660973,-88.000083,Dunkin Donuts
300866,11814 Reisterstown Rd,Reisterstown,MD,21136,US,39.445744,-76.813047,Dunkin Donuts
300867,5810 N Atlantic Ave,Cocoa Beach,FL,32931,US,28.370694,-80.605447,Dunkin Donuts
300869,4130 E. Thomas Rd,Phoenix,AZ,85018,US,33.480547,-111.992539,Dunkin Donuts
300875,1174 Main St,Watertown,CT,6795,US,41.592792,-73.109244,Dunkin Donuts
300877,1109 Maple Ave,Lisle,IL,60532,US,41.786381,-88.073114,Dunkin Donuts
300878,308 Bristol Pike,Croydon,PA,19021,US,40.093706,-74.911555,Dunkin Donuts
300882,1309 Fulton St,Brooklyn,NY,11216,US,40.680482,-73.948915,Dunkin Donuts
300896,885 US Highway 22,North Plainfield,NJ,7060,US,40.623299,-74.445204,Dunkin Donuts
300898,1401 S 10th St,Philadelphia,PA,19147,US,39.931436,-75.160662,Dunkin Donuts
300900,495 S Main St,Thomaston,CT,6787,US,41.661678,-73.0796,Dunkin Donuts
300904,1900 N Federal Hwy,Fort Lauderdale,FL,33305,US,26.152606,-80.117908,Dunkin Donuts
300908,5985 13th St,Fort Belvoir,VA,22060,US,38.695407,-77.143592,Dunkin Donuts
300910,5448 S Pulaski Rd,Chicago,IL,60632,US,41.793636,-87.723567,Dunkin Donuts
300912,1600 E. Joppa Rd,Towson,MD,21286,US,39.396637,-76.567224,Dunkin Donuts
300919,206 Ridge Rd,North Arlington,NJ,7031,US,40.788122,-74.133181,Dunkin Donuts
300920,531 N Wood Ave,Linden,NJ,7036,US,40.633383,-74.258467,Dunkin Donuts
300921,100 Hawley Ln,Trumbull,CT,6611,US,41.232183,-73.152678,Dunkin Donuts
300924,136 W Main St,Batavia,NY,14020,US,42.999953,-78.191044,Dunkin Donuts
300925,544 S Washington St,North Attleboro,MA,2760,US,41.964787,-71.339531,Dunkin Donuts
300928,6707 W 111th St,Worth,IL,60482,US,41.690044,-87.786689,Dunkin Donuts
300929,1312 N George St,York,PA,17404,US,39.980468,-76.733923,Dunkin Donuts
300931,2903 State Rt 23,Newfoundland,NJ,7435,US,41.052944,-74.453558,Dunkin Donuts
300933,246 Littleton Rd,Morris Plains,NJ,7950,US,40.84265,-74.464764,Dunkin Donuts
