"","type","lat","lon","sb_lat","sb_lon","feet","string_check","sb_name"
"1456","Starbucks",26.528663,-81.757229,26.528241,-81.755748,507.98,"26.528663 -81.757229","26.528241 -81.755748"
"1457","Starbucks",26.527919,-81.753309,26.528241,-81.755748,806.07,"26.527919 -81.753309","26.528241 -81.755748"
"1458","Starbucks",38.249737,-85.75784,38.25349,-85.754921,1603.35,"38.249737 -85.75784","38.25349 -85.754921"
"1459","Starbucks",45.520804,-122.682612,45.51835,-122.682033,907.06,"45.520804 -122.682612","45.51835 -122.682033"
"1460","Starbucks",36.056736,-115.140856,36.057384,-115.149585,2591.05,"36.056736 -115.140856","36.057384 -115.149585"
"1461","Starbucks",36.056736,-115.140856,36.057384,-115.149585,2591.05,"36.056736 -115.140856","36.057384 -115.149585"
"1462","Starbucks",35.053265,-89.990394,35.05194,-89.981776,2624.15,"35.053265 -89.990394","35.05194 -89.981776"
"1463","Starbucks",41.976121,-87.901038,41.976896,-87.900986,282.78,"41.976121 -87.901038","41.976896 -87.900986"
"1464","Starbucks",36.08416,-115.151731,36.084561,-115.14968,623.4,"36.08416 -115.151731","36.084561 -115.14968"
"1465","Starbucks",32.711711,-117.17072,32.71588,-117.169052,1601.29,"32.711711 -117.17072","32.71588 -117.169052"
"1466","Starbucks",33.656602,-101.82238,33.588006,-101.870343,28918.93,"33.656602 -101.82238","33.588006 -101.870343"
"1467","Starbucks",34.151988,-118.336359,34.1505,-118.340065,1245.21,"34.151988 -118.336359","34.1505 -118.340065"
"1468","Starbucks",28.355521,-80.607716,28.386238,-80.7048,33159.51,"28.355521 -80.607716","28.386238 -80.7048"
"1469","Starbucks",38.901676,-77.023496,38.902164,-77.025033,472.16,"38.901676 -77.023496","38.902164 -77.025033"
"1470","Starbucks",32.8933,-97.0407,32.8934,-97.0406,47.6,"32.8933 -97.0407","32.8934 -97.0406"
"1471","Starbucks",32.8942,-97.0404,32.8941,-97.0404,36.39,"32.8942 -97.0404","32.8941 -97.0404"
"1472","Starbucks",32.8934,-97.0406,32.8933,-97.0407,47.6,"32.8934 -97.0406","32.8933 -97.0407"
"1473","Starbucks",32.8942,-97.0404,32.8941,-97.0404,36.39,"32.8942 -97.0404","32.8941 -97.0404"
